,precision,recall,f1-score,support
0,1.0,0.9997640025173065,0.9998819873333071,12712.0
1,0.9996323529411765,1.0,0.9998161426732856,8157.0
accuracy,0.9998562461066653,0.9998562461066653,0.9998562461066653,0.9998562461066653
macro avg,0.9998161764705882,0.9998820012586532,0.9998490650032963,20869.0
weighted avg,0.9998562989573615,0.9998562461066653,0.9998562508393786,20869.0
