,precision,recall,f1-score,support
0,0.7824860853432282,0.8294524858401511,0.8052850651086417,12712.0
1,0.7067892886123884,0.6406767193821258,0.6721111182560607,8157.0
accuracy,0.7556662992956059,0.7556662992956059,0.7556662992956059,0.7556662992956059
macro avg,0.7446376869778083,0.7350646026111385,0.7386980916823512,20869.0
weighted avg,0.7528987179114652,0.7556662992956059,0.7532317858678298,20869.0
