,precision,recall,f1-score,support
0,0.9817073170731707,0.9817073170731707,0.9817073170731707,164.0
1,0.9655172413793104,0.9655172413793104,0.9655172413793104,87.0
accuracy,0.9760956175298805,0.9760956175298805,0.9760956175298805,0.9760956175298805
macro avg,0.9736122792262405,0.9736122792262405,0.9736122792262405,251.0
weighted avg,0.9760956175298805,0.9760956175298805,0.9760956175298805,251.0
