,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Hour
7767,Thursday,31-50,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Turnover,Passenger,Male,Under 18,3,,Normal,Not a Pedestrian,No distancing,15
7768,Thursday,Above 50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,Over 51,3,,Normal,Not a Pedestrian,No distancing,15
7769,Saturday,Unknown,Male,Elementary school,Employee,2-5yr,Public (> 45 seats),Owner,Unknown,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,2
7770,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,2-5yrs,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,2
7771,Monday,Above 50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,,Not a Pedestrian,Changing lane to the left,13
7772,Monday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,13
7773,Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,,Normal,Not a Pedestrian,Driving under the influence of drugs,15
7774,Wednesday,Above 50,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,2-5yrs,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,15
7775,Wednesday,18-30,Male,Junior high school,Employee,Unknown,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,7
7776,Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,2,,,Not a Pedestrian,Driving to the left,7
7777,Sunday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,31-50,3,,,Not a Pedestrian,Driving at high speed,18
7778,Sunday,18-30,Male,Unknown,,Unknown,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Overtaking,18
7779,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the right,18
7780,Saturday,18-30,Male,Elementary school,Owner,2-5yr,Other,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,16
7781,Friday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,8
7782,Thursday,Above 50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,10
7783,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,15
7784,Wednesday,18-30,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,Moving Backward,0
