Date,Price,Open,High,Low,Vol.,Change %,Daily Return %,MA_30,MA_100
2016-02-26,432.15,424.63,432.15,421.62,61486000.0,1.77,,,
2016-02-27,432.52,432.84,434.23,428.1,41893600.0,-0.07,0.0856184195302534,,
2016-02-28,433.5,432.57,435.68,423.82,53033400.0,0.22,0.22657911772865358,,
2016-02-29,437.7,433.44,441.51,431.69,60694700.0,0.98,0.9688581314878819,,
2016-03-01,435.12,437.92,439.65,432.32,74895800.0,-0.64,-0.5894448252227513,,
2016-03-02,423.99,435.13,435.92,423.99,74955296.0,-2.56,-2.557915057915061,,
2016-03-03,421.65,423.91,425.37,419.41,100484000.0,-0.53,-0.5518998089577676,,
2016-03-04,410.94,421.84,425.18,410.94,90856096.0,-2.58,-2.5400213447171804,,
2016-03-05,400.57,410.78,411.26,394.04,135384992.0,-2.49,-2.523482746873029,,
2016-03-06,407.71,400.52,411.91,395.78,91212496.0,1.79,1.7824599945078123,,
2016-03-07,414.32,407.76,415.92,406.31,85762400.0,1.61,1.6212503985676197,,
2016-03-08,413.97,414.46,416.24,411.09,70311696.0,-0.12,-0.08447576752268482,,
2016-03-09,414.86,413.89,416.03,411.61,70012304.0,0.23,0.2149914244993667,,
2016-03-10,417.13,414.74,417.51,413.25,81022896.0,0.58,0.5471725401340111,,
2016-03-11,421.69,417.24,423.93,417.01,73969696.0,1.07,1.0931843789705908,,
2016-03-12,411.62,421.61,421.8,410.09,92712896.0,-2.37,-2.3880101496359885,,
2016-03-13,414.07,411.65,416.6,411.64,74322800.0,0.59,0.5952091735095477,,
2016-03-14,416.44,414.2,416.68,414.2,95259400.0,0.54,0.5723669910884688,,
2016-03-15,416.83,416.39,418.13,414.98,66781700.0,0.11,0.09365094611468727,,
2016-03-16,417.01,416.89,417.69,415.91,65185800.0,0.03,0.04318307223567519,,
2016-03-17,420.62,417.89,421.0,417.89,83528600.0,0.65,0.865686674180477,,
2016-03-18,409.55,420.55,420.55,406.14,104940000.0,-2.62,-2.6318292045076297,,
2016-03-19,410.44,409.27,410.98,407.23,58423000.0,0.29,0.21731168355512143,,
2016-03-20,413.76,410.4,414.62,410.4,45947900.0,0.82,0.8088880226098771,,
2016-03-21,413.31,413.42,413.42,410.38,61655400.0,-0.03,-0.10875870069605442,,
2016-03-22,418.09,413.13,418.38,412.53,66813300.0,1.2,1.156516900147575,,
2016-03-23,418.04,418.16,419.27,417.36,61444200.0,-0.03,-0.011959147551954263,,
2016-03-24,416.39,418.42,418.68,415.49,68346704.0,-0.49,-0.3946990718591614,,
