iter	Passed	Remaining
449	1097	1341
450	1100	1339
451	1102	1336
452	1104	1333
453	1106	1330
454	1109	1329
455	1112	1326
456	1114	1324
457	1116	1321
458	1118	1318
459	1120	1315
460	1123	1313
461	1125	1310
462	1127	1307
463	1129	1305
464	1131	1302
465	1134	1299
466	1136	1296
467	1138	1294
468	1140	1291
469	1142	1288
470	1144	1285
471	1147	1283
472	1149	1280
473	1151	1277
474	1153	1274
475	1155	1272
476	1157	1269
477	1159	1266
478	1161	1263
479	1164	1261
480	1166	1258
481	1168	1255
482	1170	1253
483	1172	1250
484	1175	1247
485	1177	1245
486	1179	1242
487	1181	1239
488	1183	1237
489	1186	1234
490	1188	1231
491	1190	1229
492	1192	1226
493	1195	1224
494	1197	1221
495	1199	1219
496	1202	1216
497	1204	1213
498	1206	1211
499	1208	1208
500	1210	1205
501	1212	1203
502	1214	1200
503	1217	1198
504	1219	1195
505	1221	1192
506	1224	1190
507	1226	1187
508	1228	1185
509	1230	1182
510	1232	1179
511	1235	1177
512	1237	1175
513	1240	1172
514	1242	1170
515	1245	1167
516	1247	1165
517	1250	1163
518	1252	1161
519	1255	1158
520	1257	1155
521	1259	1153
522	1261	1150
523	1263	1147
524	1266	1145
525	1268	1142
526	1270	1140
527	1272	1137
528	1275	1135
529	1277	1132
530	1279	1129
531	1281	1127
532	1284	1125
533	1286	1122
534	1288	1119
535	1290	1117
536	1293	1114
537	1295	1112
538	1298	1110
539	1301	1108
540	1304	1106
541	1307	1104
542	1310	1102
543	1312	1100
544	1314	1097
545	1317	1095
546	1319	1092
547	1321	1090
548	1323	1087
549	1326	1085
550	1328	1082
551	1330	1080
552	1333	1077
553	1335	1075
554	1337	1072
555	1339	1069
556	1342	1067
557	1344	1064
558	1346	1062
559	1349	1059
560	1351	1057
561	1354	1055
562	1356	1052
563	1358	1050
564	1360	1047
565	1362	1044
566	1364	1042
567	1366	1039
568	1369	1037
569	1371	1034
570	1373	1031
571	1375	1029
572	1377	1026
573	1379	1024
574	1381	1021
575	1384	1018
576	1386	1016
577	1388	1013
578	1390	1011
579	1392	1008
580	1395	1006
581	1397	1003
582	1400	1001
583	1402	999
584	1404	996
585	1407	994
586	1409	991
587	1411	988
588	1413	986
589	1415	983
590	1418	981
591	1420	978
592	1422	976
593	1424	973
594	1426	971
595	1429	968
596	1431	966
597	1433	963
598	1435	961
599	1438	958
