,precision,recall,f1-score,support
0,0.9793255247228991,0.9800188797986155,0.9796720795816458,12712.0
1,0.968826705940108,0.9677577540762535,0.9682919349892671,8157.0
accuracy,0.975226412382002,0.975226412382002,0.975226412382002,0.975226412382002
macro avg,0.9740761153315036,0.9738883169374345,0.9739820072854565,20869.0
weighted avg,0.9752218846437756,0.975226412382002,0.9752239584718643,20869.0
