Model,Accuracy,F1 Score,ROC AUC
XGBoost,1.0,1.0,1.0
Random_Forest,0.9998562461066653,0.9998161426732856,1.0
Decision_Tree,0.9997124922133308,0.9996322628095122,0.9997200742539062
KNN,0.975226412382002,0.9682919349892671,0.9949856634735883
Logistic_Regression,0.7556662992956059,0.6721111182560607,0.8276019486751236
