loss,accuracy,val_loss,val_accuracy,lr
0.6462552547454834,0.6243489384651184,0.5466976165771484,0.75,1e-04
0.5226550698280334,0.751953125,0.46382248401641846,0.7786458134651184,1e-04
0.47839847207069397,0.7662760615348816,0.4156997501850128,0.8098958134651184,1e-04
0.44244256615638733,0.7981770634651184,0.38414880633354187,0.8255208134651184,1e-04
0.41457831859588623,0.81640625,0.36303162574768066,0.8411458134651184,1e-04
0.3884749412536621,0.8352864384651184,0.39036211371421814,0.8177083134651184,1e-04
0.3769148886203766,0.8444010615348816,0.39622366428375244,0.8177083134651184,1e-04
0.3480893671512604,0.85546875,0.31672605872154236,0.8645833134651184,1e-04
0.33177173137664795,0.865234375,0.3875393569469452,0.8203125,1e-04
0.3254220485687256,0.8658854365348816,0.2917262613773346,0.8697916865348816,1e-04
0.3033510148525238,0.8776041865348816,0.28699007630348206,0.8697916865348816,1e-04
0.2853381931781769,0.8919270634651184,0.28391382098197937,0.8776041865348816,1e-04
0.259125679731369,0.900390625,0.2743438184261322,0.8802083134651184,1e-04
0.251788854598999,0.8984375,0.28251397609710693,0.8828125,1e-04
0.24475079774856567,0.90625,0.22753028571605682,0.9036458134651184,1e-04
0.23169635236263275,0.9049479365348816,0.22990284860134125,0.9010416865348816,1e-04
0.23123414814472198,0.91015625,0.21724361181259155,0.9166666865348816,1e-04
0.1934957057237625,0.9290364384651184,0.19978070259094238,0.90625,1e-04
0.19077910482883453,0.9309895634651184,0.19313780963420868,0.9322916865348816,1e-04
0.19090716540813446,0.9290364384651184,0.22524960339069366,0.9010416865348816,1e-04
0.18323157727718353,0.9296875,0.17670710384845734,0.9322916865348816,1e-04
0.1639837920665741,0.9427083134651184,0.16498373448848724,0.9401041865348816,1e-04
0.16133715212345123,0.9381510615348816,0.1627177894115448,0.9427083134651184,1e-04
0.1534077376127243,0.947265625,0.1609836369752884,0.9427083134651184,1e-04
0.15999333560466766,0.9466145634651184,0.1546231210231781,0.9479166865348816,1e-04
0.1267038732767105,0.9544270634651184,0.1481274962425232,0.9583333134651184,1e-04
0.12038927525281906,0.9583333134651184,0.14682865142822266,0.9557291865348816,1e-04
0.14138926565647125,0.9505208134651184,0.12210375815629959,0.96875,1e-04
0.11014986783266068,0.9635416865348816,0.13416138291358948,0.9713541865348816,1e-04
0.11992944031953812,0.95703125,0.1340906023979187,0.9557291865348816,1e-04
0.10393930226564407,0.9674479365348816,0.12447788566350937,0.9609375,1e-04
0.10719814896583557,0.9602864384651184,0.1578451246023178,0.9348958134651184,1e-04
0.08912655711174011,0.9680989384651184,0.1074884831905365,0.9713541865348816,6e-05
0.0814712643623352,0.9739583134651184,0.1080644428730011,0.96875,6e-05
0.08442875742912292,0.9720051884651184,0.10885322093963623,0.96875,6e-05
