loss,accuracy,val_loss,val_accuracy,lr
3.4144556522369385,0.6764323115348816,0.37441980838775635,0.9140625,0.001
1.382551670074463,0.8333333134651184,0.16158197820186615,0.9635416865348816,0.001
0.8589935898780823,0.88671875,0.24620062112808228,0.9505208134651184,0.001
0.7435147166252136,0.9029948115348816,0.16908536851406097,0.9661458134651184,0.001
0.5090177655220032,0.9264323115348816,0.20653414726257324,0.9635416865348816,0.001
0.4959805905818939,0.9342448115348816,0.6228934526443481,0.8984375,0.001
0.5779083371162415,0.931640625,0.08085744827985764,0.9791666865348816,0.001
0.35139867663383484,0.9583333134651184,0.5186472535133362,0.9140625,0.001
0.38866135478019714,0.9576823115348816,0.08070710301399231,0.9739583134651184,0.001
0.2892596423625946,0.9713541865348816,0.2034846544265747,0.9661458134651184,0.001
0.4646508991718292,0.9537760615348816,0.06578367203474045,0.9791666865348816,0.001
0.2732330560684204,0.9733073115348816,0.05002491548657417,0.9869791865348816,0.001
0.2832346260547638,0.9713541865348816,0.056799065321683884,0.984375,0.001
0.1961521953344345,0.9817708134651184,0.05569349601864815,0.9869791865348816,0.001
0.22099655866622925,0.970703125,0.10650596767663956,0.9817708134651184,0.001
0.2702469825744629,0.978515625,0.036498233675956726,0.9895833134651184,0.001
0.22207973897457123,0.974609375,0.13972580432891846,0.96875,0.001
0.16290274262428284,0.98046875,0.10765501111745834,0.9817708134651184,0.001
0.3154166638851166,0.9674479365348816,0.10388364642858505,0.9739583134651184,0.001
0.1137169674038887,0.9850260615348816,0.3551904261112213,0.9479166865348816,0.001
0.23922733962535858,0.9674479365348816,0.006365048233419657,0.9973958134651184,0.001
0.1966601461172104,0.9733073115348816,0.002001271117478609,1.0,0.001
0.22277532517910004,0.9700520634651184,0.039056044071912766,0.9947916865348816,0.001
0.0566864050924778,0.9921875,0.031973253935575485,0.9921875,0.001
0.1986469030380249,0.9778645634651184,0.03269057348370552,0.9895833134651184,0.001
0.17520253360271454,0.9850260615348816,0.02802089788019657,0.9947916865348816,0.001
0.09700628370046616,0.986328125,0.0538870245218277,0.9869791865348816,0.001
0.1541588008403778,0.9798176884651184,0.048106178641319275,0.9869791865348816,0.001
0.007858200930058956,0.99609375,0.011765693314373493,0.9921875,0.000100000005
0.00533166853711009,0.9993489384651184,0.007936236448585987,0.9973958134651184,0.000100000005
0.009396660141646862,0.9967448115348816,0.008175513707101345,0.9947916865348816,0.000100000005
0.013926061801612377,0.9947916865348816,0.010205232538282871,0.9947916865348816,0.000100000005
0.0013658617390319705,0.9993489384651184,0.0064180102199316025,0.9973958134651184,0.000100000005
0.006470372434705496,0.9986979365348816,0.0051191397942602634,0.9973958134651184,0.000100000005
0.0028048232197761536,0.9993489384651184,0.005242621060460806,0.9973958134651184,1.0000001e-05
0.0020853469613939524,0.9993489384651184,0.005333743989467621,0.9973958134651184,1.0000001e-05
0.0036212962586432695,0.9986979365348816,0.005200715269893408,0.9973958134651184,1.0000001e-05
0.004603938199579716,0.998046875,0.005241987761110067,0.9973958134651184,1.0000001e-05
0.0013702999567613006,0.9993489384651184,0.005031111184507608,0.9973958134651184,1.0000001e-05
0.008128647692501545,0.998046875,0.006284606177359819,0.9973958134651184,1.0000001e-05
0.0007150896708481014,0.9993489384651184,0.006240106653422117,0.9973958134651184,1.0000001e-06
0.0012476971605792642,0.9993489384651184,0.006088590249419212,0.9973958134651184,1.0000001e-06
0.0013224378926679492,0.9993489384651184,0.005991805344820023,0.9973958134651184,1.0000001e-06
0.0003964651841670275,1.0,0.00592337129637599,0.9973958134651184,1.0000001e-06
0.015354680828750134,0.9967448115348816,0.00563786132261157,0.9973958134651184,1.0000001e-06
0.007279925514012575,0.998046875,0.005298750475049019,0.9973958134651184,1.0000001e-06
0.005635654088109732,0.9967448115348816,0.005317118018865585,0.9973958134651184,1e-06
0.006459152325987816,0.9986979365348816,0.005412778351455927,0.9973958134651184,1e-06
0.002371812704950571,0.9993489384651184,0.005395166575908661,0.9973958134651184,1e-06
0.0031391996890306473,0.9986979365348816,0.005603661760687828,0.9973958134651184,1e-06
